"Trait","metric","Variable","Effect","Estimate","Std_Error","t_value","p_value","Partial_R2","Variance_observed","Lower_CI","Upper_CI","Significant","model"
"ctmin","auc","Order","random",NA,NA,NA,NA,NA,0.004,0,0.057,FALSE,"lmerTest::lmer(Trait ~ PC1 + PC2 + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"ctmin","auc","Residual","random",NA,NA,NA,NA,NA,0.846,0.754,1,FALSE,"lmerTest::lmer(Trait ~ PC1 + PC2 + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"rmax","auc","Marginal_R2","model_fit",NA,NA,NA,NA,NA,0.004,NA,NA,NA,"lmerTest::lmer(Trait ~ PC1 + PC2 + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"rmax","auc","Conditional_R2","model_fit",NA,NA,NA,NA,NA,0.839,NA,NA,NA,"lmerTest::lmer(Trait ~ PC1 + PC2 + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"topt","auc","Marginal_R2","model_fit",NA,NA,NA,NA,NA,0.098,NA,NA,NA,"lmerTest::lmer(Trait ~ PC1 + PC2 + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"topt","auc","Conditional_R2","model_fit",NA,NA,NA,NA,NA,0.417,NA,NA,NA,"lmerTest::lmer(Trait ~ PC1 + PC2 + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"ctmax","auc","Marginal_R2","model_fit",NA,NA,NA,NA,NA,0.051,NA,NA,NA,"lmerTest::lmer(Trait ~ PC1 + PC2 + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"ctmax","auc","Conditional_R2","model_fit",NA,NA,NA,NA,NA,0.304,NA,NA,NA,"lmerTest::lmer(Trait ~ PC1 + PC2 + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"ctmin","auc","Marginal_R2","model_fit",NA,NA,NA,NA,NA,0.071,NA,NA,NA,"lmerTest::lmer(Trait ~ PC1 + PC2 + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"ctmin","auc","Conditional_R2","model_fit",NA,NA,NA,NA,NA,0.214,NA,NA,NA,"lmerTest::lmer(Trait ~ PC1 + PC2 + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"rmax","auc","MAT","fixed",0.011,0.013,0.848,0.411,0.002,NA,NA,NA,NA,"lmerTest::lmer(Trait ~ MAT + MATR + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"rmax","auc","MATR","fixed",-0.013,0.007,-1.774,0.096,0.006,NA,NA,NA,NA,"lmerTest::lmer(Trait ~ MAT + MATR + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"rmax","auc","temperature_of_isolation","fixed",0.003,0.008,0.406,0.685,0,NA,NA,NA,NA,"lmerTest::lmer(Trait ~ MAT + MATR + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"topt","auc","MAT","fixed",0.105,0.029,3.664,0,0.026,NA,NA,NA,NA,"lmerTest::lmer(Trait ~ MAT + MATR + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"topt","auc","MATR","fixed",0.054,0.017,3.143,0.002,0.02,NA,NA,NA,NA,"lmerTest::lmer(Trait ~ MAT + MATR + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"topt","auc","temperature_of_isolation","fixed",-0.125,0.029,-4.355,0,0.043,NA,NA,NA,NA,"lmerTest::lmer(Trait ~ MAT + MATR + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"ctmax","auc","MAT","fixed",0.178,0.058,3.081,0.01,0.057,NA,NA,NA,NA,"lmerTest::lmer(Trait ~ MAT + MATR + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"ctmax","auc","MATR","fixed",-0.005,0.033,-0.143,0.888,0,NA,NA,NA,NA,"lmerTest::lmer(Trait ~ MAT + MATR + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"ctmax","auc","temperature_of_isolation","fixed",0.052,0.041,1.264,0.207,0.006,NA,NA,NA,NA,"lmerTest::lmer(Trait ~ MAT + MATR + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"ctmin","auc","MAT","fixed",0.013,0.113,0.115,0.911,0,NA,NA,NA,NA,"lmerTest::lmer(Trait ~ MAT + MATR + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"ctmin","auc","MATR","fixed",0.076,0.063,1.195,0.258,0.009,NA,NA,NA,NA,"lmerTest::lmer(Trait ~ MAT + MATR + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
"ctmin","auc","temperature_of_isolation","fixed",-0.254,0.062,-4.119,0,0.058,NA,NA,NA,NA,"lmerTest::lmer(Trait ~ MAT + MATR + temperature_of_isolation + (1|Order/Genus) + (1|Site))"
