"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13"
-0.270855440538427,0.107883255067489,0.148098914063054,-0.640714228744038,-0.373786728879163,-0.446982385859065,0.0486864689616732,0.059756686280032,-0.290144220989366,-0.109876808054004,0.195712599821912,-0.0495364093567696,0.0092551106317173
-0.0972750457724642,0.512623958404123,-0.329003442976203,0.0576011346944244,0.0258112374099539,0.10475100371333,-0.00310830518688882,-0.589511443024995,-0.337748776383435,0.204695813023671,0.108993332772894,-0.0350623800617931,-0.296542006898134
-0.34936774348416,-0.0706388200376752,-0.00306720145515742,-0.194881135996766,-0.17610758435935,0.282450097986865,0.103088748170843,0.00419549977570766,0.0321306463548476,0.483674193603781,-0.336762932296683,0.588543424469802,0.136973361044002
-0.342282618639736,-0.135299598796773,-0.0708613096188336,0.0553786483578092,-0.266580314099142,0.337421550625818,0.348593658001089,0.0594417399366891,-0.0364866596066219,0.0958316232987568,-0.189150913127429,-0.704390722669008,0.0634030570089611
-0.344004540736217,-0.141509873533239,-0.0881979624995203,0.0712180114836052,-0.111022684087698,0.252997104680195,0.246630163761159,-0.286407698016086,0.217582863394381,-0.618626572426276,0.339600346284415,0.287099639119294,0.0424244133099526
-0.309035717648756,0.206993540324372,-0.209931969341574,-0.267238349486253,0.270353762827031,0.231879548102904,-0.343551027349315,0.33031220214153,0.392745789276599,0.184859266485117,0.42652633660275,-0.137465448756528,-0.0540964166699084
-0.315406746066555,0.112839160936685,-0.349834542280636,-0.126552246235485,0.505817640383124,-0.30644743118775,0.0700880040719701,0.0095785629489856,0.0325477438778924,-0.293794687434928,-0.533920118096319,-0.0310707153815492,0.145636135106453
0.182761947620961,0.461023429284798,-0.169946837997789,0.147391533884459,-0.141050105837792,-0.252669910421174,0.617923931372832,0.224772774744827,0.339051525968007,0.145572214450749,0.140185807509284,0.0869789864324695,0.154902108888154
0.131137203195736,0.516726799081576,-0.0210274723187851,0.0206186112044528,-0.412585580596313,0.293822368959054,-0.383213564976228,0.168981276511323,0.00274187421371833,-0.361896693028517,-0.299996326721255,0.0158125396693981,0.248473029849671
-0.176431082328769,-0.266658072907046,-0.595334178884071,0.397961405520449,-0.347772758460917,-0.306163718173453,-0.264236560237888,0.219530597033269,-0.161233930367402,0.0689326439787078,0.11281886861998,0.0904965892121191,0.0246354292359284
0.316089830453893,-0.150373555360877,-0.307206827312551,-0.261640772058954,0.134890735031132,0.16667820711608,0.0390269784797151,-0.163480438737223,-0.231971414906723,0.0747102016788127,0.225063443456882,-0.0529444857934097,0.72633874110621
0.311713512163638,-0.102054192008677,-0.352198486939947,-0.291654066354944,0.046838274709715,0.31631140535797,0.261125563959588,0.399002750672651,-0.286620914356127,-0.188678053165509,-0.0495399209624801,0.138130305662627,-0.463024981901563
0.292969543370692,-0.207352430869334,-0.297307110726797,-0.344350785079478,-0.291225716323594,-0.110329076135959,-0.116171498581249,-0.375402452152349,0.56551340030743,0.0402736301521561,-0.206930366346156,-0.116579012588142,-0.186972938783338
