"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
-0.300095060060351,0.206332859567746,0.554209845365353,-0.24630164932596,0.663346436756754,-0.0729989164484325,-0.158124575673509,0.0246276917128417,0.0844785580728944,-0.146467684025393
-0.0530102300543898,0.574111463302354,-0.250501477027643,0.0632276312674036,-0.115566942964445,0.00343036454670782,-0.538221551127779,-0.524448022065267,0.0419183117748195,-0.144860012943556
-0.404771389448522,0.0335671996352639,0.157696410871464,0.259235093254073,0.0208401749341722,0.0228382381791189,0.215560340631798,-0.402159421553019,-0.206890914849148,0.700716893158488
-0.40046319273257,-0.0427614004211967,-0.0570696099165575,0.496298612257775,0.0131561156826087,-0.211683718034053,0.192103792817388,0.00434599068571084,-0.420237354286716,-0.574217878811775
-0.403296751998748,-0.0482730286242064,-0.081891846341318,0.380767729694546,-0.106468148276361,-0.190065501521827,-0.313567881089211,0.41804733001453,0.579614895625895,0.163795394258098
-0.335763753859107,0.328822851330069,0.0518135048871252,-0.19978438278131,-0.298833269408991,0.390318376468288,0.537092829146452,-0.0439700480374537,0.391605396786371,-0.226126465045412
-0.357925737312026,0.239372586488997,-0.155463333564539,-0.517284037995853,-0.274311829963987,-0.228247745317011,-0.113983043219842,0.406129715817963,-0.43708824788616,0.162833281015266
0.262547779599853,0.426387191299036,-0.21740934799483,0.0484384132522635,0.221406531606903,-0.638719913157481,0.445349179164615,0.0247762167550496,0.179765754786946,0.106771079669841
0.216793918940946,0.49005675563233,-0.00955650225673463,0.376301793430058,0.191263586236511,0.488598187312494,-0.00031861483427947,0.46778581996988,-0.238977282486033,0.141090899796757
-0.251981908311016,-0.187488228573162,-0.721843089410375,-0.159350741817437,0.533406045190084,0.249130748731961,0.0618255820075639,-0.0389992995471318,0.0438488902539924,0.0323877328912359
