"Seasonality","MAT","MATR","MMTR","MDTR","MATmax","MMTmax","MATmin","MMTmin","Isothermality","Site","Site_initials","Climate profile","Annual_precipitation","Precipitation_seasonality","MAPmax","MAPmin","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
9.35631316849688,22.79544596832,33.333333332,10.68981481525,4.13168943738382,42.11111111,28.5138888891667,8.777777778,17.8240740739167,32.0694444470328,"Merced","ME","Hot stable",284.939,2385.06029672525,154.83,0,2.08647047588443,2.00979209965501,1.27820149993665,-0.700370129752408,-0.124790179598785,0.172319191746171,-0.073443518094145,0.0226850667322142,-0.00868978921126713,0.0203244883174599
9.94554617594046,28.8874276818206,51.9435555555556,26.9699259259259,16.4588168954149,59.67,56.4088888888889,1.986,4.46533333333333,51.9216015104715,"Anza Borrego HQ","AB","Hot variable",85.4,507.952811575917,77.43,0,-2.84704795477539,2.05939655675568,-0.40364931524158,0.261548003385527,0.161013906839855,0.166351213198919,0.109637166192419,-0.0116427636729013,-0.0789728102671041,-0.0226658225167026
3.69944176434666,13.9218645890257,23.7695,12.0775,5.75789823453529,27.3,25.805,0,2.0355,50.8109131449967,"Bodega","B","Cold stable",781.287,5840.86616632795,472.48,0,2.18646982398984,-1.19271700022005,-1.76875928208532,-0.0752702292202012,-0.249283244958463,-0.238320679590869,0.0268153252329977,0.112733342087515,-0.0078178282591472,0.0192433121502883
9.40670317499953,28.2079515997474,48.3751818181818,24.3595833333333,13.950806452683,55.17,54.0118181818182,2.815,5.63663636363636,50.3555385587776,"Boyd Deep Canyon","DC","Hot variable",105.817,672.735180179776,94.44,0,-2.05415179843914,1.95719597915026,-0.418642000731889,0.283260794955142,0.165889420155401,0.0787762369877774,0.143556725533301,0.0344187103708704,0.0897366052280572,-0.00887997480196366
6.28525823747281,23.5139073837586,35.9561666666667,19.4345138888889,10.8105822110546,45.02,42.9608333333333,5.071,7.00466666666667,54.0505723790232,"Elliot Chaparral","EC","Hot variable",306.113,2320.01678538533,191.05,0,-0.188884954438379,1.04645786002363,-1.62481125465971,0.0550570294193131,-0.00813121177065255,-0.125743930426849,-0.0783224596431075,-0.101423044473241,-0.012119821126837,0.006490175637577
9.5696571677394,11.8043521249233,47.9675454545455,20.879103030303,12.2241865842937,51.77,43.3918181818182,-15.38,-4.57572727272727,43.5275618805392,"James San Jacinto","SJ","Cold variable",429.868,2758.55856441971,321.57,0,-1.74130727516506,-1.08886921371202,1.15568619781661,0.447743226808951,-0.777329174666967,-0.222240619729083,0.0363617263358346,-0.0460137920909066,0.000826014239257979,-0.0304621921580328
7.30716760156726,18.9919945272543,32.78775,13.3560833333333,6.77145269324823,43,38.695,3.178,5.90725,40.7349797815749,"Jepson Prairie","J","Hot stable",454.142,3696.47685821693,282.51,0,0.984782039581584,0.672634401966715,0.0721199960630037,0.412937042074489,-0.105290120387801,0.0206018861533763,-0.140131981220899,-0.0732761603620216,0.0293461655551165,0.0236818850831972
8.31704304820139,18.9795917698631,34.5104285714286,13.4634523809524,6.18424260026422,43.33,38.1657142857143,2.544,3.65528571428571,39.0127069940211,"McLaughlin","M","Hot stable",825.463,6810.51389323333,529.12,0,0.835072545514279,0.613292666712615,0.568122497817369,0.419586442287676,0.0815670660769511,-0.0404659334844816,-0.118881778558145,0.146802340371962,-0.0106627134021215,-0.0368434229967379
3.38395762146442,13.1830690263973,14.0875,5.10191666666667,1.57476895580627,21.78,20.065,5.494,5.9775,36.2159124519373,"Point Reyes","P","Cold stable",931.663,7586.70592603312,563.18,0,4.28834345233665,-0.806992900025026,-0.729986046916303,0.201353582019419,-0.157762186974853,0.339603921290759,0.0220361835630181,-0.0333950886415156,-0.00306261463601145,-0.0158106215133953
9.78161614968585,21.6727287327151,44.7084,19.9221333333333,11.0051173515988,51.59,47.774,1.634,3.0656,44.5601572262334,"Quail Ridge","QR","Hot variable",602.291,5044.0046920637,435.86,0,-1.10907549713256,1.15109124128463,0.452364249463313,0.342517028700616,0.236947923421287,-0.0547175118853669,-0.110059763150968,0.00288512536089993,-0.00191008618664562,0.0297745198878414
9.60350803305907,11.2878606063651,52.5187,25.7524223333333,15.6722415073608,46.1,43.446,-13.21,-9.0727,49.034767298759,"SNARL","S","Cold variable",358.009,2285.27872875631,282.69,0,-2.43234735811523,-1.53314389517306,0.52638045557852,0.077073292531154,-0.047688681006063,0.0198729726113534,0.107910212725959,0.0307242990880252,-0.0176051770890181,0.0724248760232194
6.24202988931324,7.40092911594768,19.9165,6.29616666666667,2.34199557091654,20.44,20.01,-0.016,0.0935,31.6128168436556,"Valentine","V","Cold stable",588.816,3803.06494004268,446.73,0,3.58127969150779,-1.66043479643318,0.801325354194804,0.0821935283361208,0.248594796036777,0.186054015227249,0.129291169283322,-0.0322443288574456,0.00218090692006702,-0.00354868993106806
8.9711265794446,3.72997453836007,62.13,36.9024583333333,21.5285580325141,43.2,42.345,-19.96,-19.785,59.3955550190461,"White Mountain","W","Cold variable",131.682,770.720433337301,148.04,0,-4.22118222426077,-3.47743069985047,-0.352008154618194,-0.400395313130515,0.206356409350124,0.260794794936537,-0.132886523001547,0.0023997782539897,0.0124244593162768,-0.021231579665344
8.59082637534857,10.5631138734117,29.865,12.5751666666667,5.62313305455994,29.84,29.84,-0.025,-0.025,42.1067023829455,"Yosemite Mariposa Grove","Y","Cold stable",718.176,5693.71777711668,529.24,0,1.44363011570896,-0.929349380475933,0.562308995298539,-0.194165219471107,0.616028944792547,-0.483886417703139,0.0322806858695935,-0.045933343393934,-0.00361860007291616,-0.0168207504690988
