"Seasonality","MAT","MATR","MMTR","MDTR","MATmax","MMTmax","MATmin","MMTmin","Isothermality","Site","Site_initials","Climate profile","Annual_precipitation","Precipitation_seasonality","MAPmax","MAPmin","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13"
9.35631316849688,22.79544596832,33.333333332,10.68981481525,4.13168943738382,42.11111111,28.5138888891667,8.777777778,17.8240740739167,32.0694444470328,"Merced","ME","Hot stable",284.939,23.8506029672525,154.83,0,0.967969815484279,2.70723592603155,0.973866096337159,-1.66522679315775,0.281955232366718,0.154540665932972,-0.271687800459982,-0.213258659048349,-0.0715349241842411,0.00282558855613585,0.0167322981522535,-0.00731560944822796,-0.00762353020760499
9.94554617594046,28.8874276818206,51.9435555555556,26.9699259259259,16.4588168954149,59.67,56.4088888888889,1.986,4.46533333333333,51.9216015104715,"Anza Borrego HQ","AB","Hot variable",85.4,5.07952811575917,77.43,0,-3.82664532110021,1.85775689443013,-0.0129577086508474,0.413150799050636,-0.314868385676151,-0.198299771980548,-0.0191688457250116,0.121276333930155,-0.0600070225328621,-0.0417945710913481,0.0666789174987308,0.041292842641081,0.0105822379003835
3.69944176434666,13.9218645890257,23.7695,12.0775,5.75789823453529,27.3,25.805,0,2.0355,50.8109131449967,"Bodega","B","Cold stable",781.287,58.4086616632795,472.48,0,2.8941116360011,-1.03149720251491,0.537845651402639,1.70632653105494,0.15370002442157,0.280070050724125,0.144716971418059,-0.0953654716231076,-0.12925269789668,0.0547341653743475,0.0093924305602309,-0.00893171090143484,0.00350327106930936
9.40670317499953,28.2079515997474,48.3751818181818,24.3595833333333,13.950806452683,55.17,54.0118181818182,2.815,5.63663636363636,50.3555385587776,"Boyd Deep Canyon","DC","Hot variable",105.817,6.72735180179776,94.44,0,-3.07073594789099,1.90992156631395,0.251797386994555,0.340473452212939,-0.36713013796022,-0.217111059255245,0.0968285307833163,0.0825184840635421,-0.0803965902534104,0.0067901163977964,-0.100494183935618,-0.00686028995941575,-0.00701857362799847
6.28525823747281,23.5139073837586,35.9561666666667,19.4345138888889,10.8105822110546,45.02,42.9608333333333,5.071,7.00466666666667,54.0505723790232,"Elliot Chaparral","EC","Hot variable",306.113,23.2001678538533,191.05,0,-0.802835046023378,1.22177069389948,0.88327333633369,1.41764558671157,-0.131133332215447,-0.0141026232374471,0.157657644644771,-0.138292365628538,0.106427962435797,0.00235957138077383,0.0378262540302616,-0.00341709065832415,-0.0139267463751137
9.5696571677394,11.8043521249233,47.9675454545455,20.879103030303,12.2241865842937,51.77,43.3918181818182,-15.38,-4.57572727272727,43.5275618805392,"James San Jacinto","SJ","Cold variable",429.868,27.5855856441971,321.57,0,-1.51646234984822,-1.40104990763471,-0.695823450884656,-0.978858455788591,-0.424236083726808,0.754251582902657,0.26954279406636,-0.0334912935645911,0.0268533802226692,-0.0241873748217817,-0.00622581945349391,0.0282625885496155,-0.00750612469934433
7.30716760156726,18.9919945272543,32.78775,13.3560833333333,6.77145269324823,43,38.695,3.178,5.90725,40.7349797815749,"Jepson Prairie","J","Hot stable",454.142,36.9647685821693,282.51,0,0.744390342358371,0.89391108542817,0.188152434239608,-0.120326439361839,-0.491857077024542,0.0739958207971493,-0.0397636215265332,-0.160136096943205,0.134068109540321,0.00980265192894419,-0.025643861319724,-0.0236059737180691,0.024387737525213
8.31704304820139,18.9795917698631,34.5104285714286,13.4634523809524,6.18424260026422,43.33,38.1657142857143,2.544,3.65528571428571,39.0127069940211,"McLaughlin","M","Hot stable",825.463,68.1051389323333,529.12,0,1.90579005565287,0.195450198384182,-1.8561954875569,0.028721790367157,-0.0423415624621149,-0.0275551405566806,-0.201960784374209,-0.0273139807724993,-0.0463539392583002,0.0787193186150551,-0.00504125772232524,0.038293636481552,0.00340670571407589
3.38395762146442,13.1830690263973,14.0875,5.10191666666667,1.57476895580627,21.78,20.065,5.494,5.9775,36.2159124519373,"Point Reyes","P","Cold stable",931.663,75.8670592603312,563.18,0,5.21668573158305,-0.435206908718908,0.201057150182913,0.735744852484118,-0.182765370743629,0.155758680906923,-0.343380127369895,0.174897220365441,0.0163011090435652,-0.0969744349292994,-0.0185351465451909,0.00441507704376611,-0.0039729916256488
9.78161614968585,21.6727287327151,44.7084,19.9221333333333,11.0051173515988,51.59,47.774,1.634,3.0656,44.5601572262334,"Quail Ridge","QR","Hot variable",602.291,50.440046920637,435.86,0,-0.442881649794715,0.539278610274954,-1.89938285682766,0.138487692611768,0.0596333209984746,-0.202913632276866,-0.0839796673836182,0.0613248997007115,0.0855566895534472,0.0232297376384716,0.0227645665245568,-0.0413272101159928,-0.0121900095678166
9.60350803305907,11.2878606063651,52.5187,25.7524223333333,15.6722415073608,46.1,43.446,-13.21,-9.0727,49.034767298759,"SNARL","S","Cold variable",358.009,22.8527872875631,282.69,0,-2.29005962796417,-1.86783048916261,-0.277371586705909,-0.456341117691182,-0.0722515159395703,0.0480090610377814,0.0142506133892904,0.060328075295236,-0.108711022295695,-0.0310701019017626,0.027702339336472,-0.0660271699127791,0.00573327311436405
6.24202988931324,7.40092911594768,19.9165,6.29616666666667,2.34199557091654,20.44,20.01,-0.016,0.0935,31.6128168436556,"Valentine","V","Cold stable",588.816,38.0306494004268,446.73,0,3.57276608704663,-0.948391895334585,1.24751487187454,-1.26956129664574,-0.332148370700513,-0.341654274676919,0.20443128010452,0.247245939581428,0.0293514819209235,0.0619736144424716,0.0197283581734577,0.00487123796613538,-0.00208068316115992
