Year,Month,McLaughlin,White Mountain,Anza Borrego HQ ,Boyd Deep Canyon,James San Jacinto,Elliot Chaparral,SNARL,Merced,Point Reyes ,Quail Ridge ,Valentine ,Yosemite Mariposa Grove ,Pinyon crest,Jepson Prairie,Bodega 
2016,4,33.67,20.63,4.69,3.99,36.99,29.58,25.8,62.84,38.98,29.96,35.52,74.92,12.91,18.57,31.59
2016,5,14.54,14.35,0.09,0.53,28.94,15.89,20.48,4.46,5.78,9.58,20.42,16.43,2.52,6.23,4.2
2016,6,2.04,21.41,0,0,0,0,27.46,0,3.26,0,32.73,3.01,0,0,7.45
2016,7,0,0.65,0.16,0,2.84,0,0.24,0,1.13,0,0,0,0.35,0,1.01
2016,8,0,5.51,0,0,0.04,0,2.54,0,0.54,0,1.2,0,0,0,4.55
2016,9,0,0,11.64,13.19,31.08,13.62,2.63,0,0.36,0,2.32,0.95,46.32,0,1.03
2016,10,159.96,14.16,1.12,5.99,18.51,5.59,124.97,40.79,173.66,81.77,169.08,96.86,6.28,73.53,145.9
2016,11,103.88,0.26,2.78,2.29,62.17,33.55,23.65,28.25,115.15,45.6,46.73,69.16,13.55,40.57,104.04
2016,12,189.13,9.4,31.5,38.29,142.34,98.75,69.8,61.61,225.37,113.14,139.35,182.49,105.19,94.49,141.87
2017,1,529.12,148.04,38.26,75.61,246.7,159.6,282.69,154.83,504.11,435.86,446.73,529.24,218.52,282.51,349.99
2017,2,400.59,60.25,31.71,36.83,121.91,140.04,178.27,111.97,472.17,334.75,264.86,384.3,120.48,210.12,302.75
2017,3,97.44,2.81,0,0,8.65,3.91,28.36,37.76,130.47,91.55,61.63,102.13,1.44,68.5,84.92
2017,4,110.9,22.81,0,0,0.19,0,101.17,30.43,122.95,70.33,154.42,116.34,0.02,69.87,102.17
2017,5,0.04,10.43,1.14,2.1,11.91,39.73,6.92,1.72,1.93,1.14,14.14,2.03,3.87,0.77,1.52
2017,6,3.03,0,0,0,0,0.39,1.12,1.06,7.2,9.2,4.86,9.9,0,5.62,17.12
2017,7,0,6.66,0,0.05,1.24,1.17,3.78,0,0.46,0,1.86,0,1.74,0,2.41
2017,8,0,8.77,0.01,2.56,5.27,0.21,10.06,0,0.02,0,18.06,1.2,4.42,0,0.24
2017,9,0.19,6.96,6.37,12.78,16.49,1.22,11.52,1.21,6.25,0,24.69,12.8,20.71,0,3.24
2017,10,7.29,0,0,0,0.52,0.32,2.77,3.42,7.88,5.04,5.23,8.55,0,4.71,8.77
2017,11,139.94,13.9,0,0,3.67,0.47,68.83,25.3,118.29,76.86,115.52,84.15,0.44,52.33,117.11
2017,12,4.09,0,0,0,0,1.75,3.96,2.93,3.02,0.84,4.74,4.83,0,1,2.83
2018,1,160.71,5.23,13.52,25.87,82.16,72.12,29.35,55.89,188.74,108.61,52.05,100.92,80.83,103.55,210.49
2018,2,7.24,4.53,0,1.36,14.66,21.05,9.62,9.87,5.52,4.56,15.64,19.04,14.25,6.06,3.5
2018,3,219.09,26.2,0,2.87,98.49,42.52,109.94,111.01,248.25,147.16,244.88,369.22,19.98,113.49,154.85
2018,4,86.98,14.23,0,0,0.32,1.34,30.32,38.26,132.61,55.54,50.37,80.02,0,56.44,144.43
2018,5,4.44,22.8,0,0.02,12.93,6.84,27.12,2.44,4.06,1.6,27.29,6.14,0.85,2.1,4.25
2018,6,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0.94
