"curve_id","Glucose_stock_X","rmax","topt","ctmin","ctmax","e","eh","q10","thermal_safety_margin","thermal_tolerance","breadth","skewness","model_name"
30,10,1.22700180447823,25.7123218515527,2.64974935055616,45.8508288903236,0.203422216867392,1.01412595270665,0,20.1385070387709,43.4756236650118,13.1594516356423,-0.810703735839253,"model average"
30,100,3.68077391748582,27.6536688351671,6.62488203104344,46.7011651025171,0.4984469646884,0.806023752385016,0,19.04749626735,40.2042002152287,11.1608348185685,-0.307576787696617,"model average"
59,10,1.21731410366193,21.7127226066879,1.24366072719711,42.9513994562977,0,0.637316547462479,0,21.2386768496098,41.7063071254483,11.7375381677851,0,"model average"
59,100,4.53248667808165,26.0593445335477,8.13773625966497,43.9791269607674,0.558349871110038,1.0993601047195,0,17.9197824272197,35.8419181981849,9.7848703339139,-0.541010097160147,"model average"
62,10,1.70448123346793,26.9045477849807,7.43057822200514,45.5769092796094,0.555169584733051,0.827679051926702,2.09953926771504,18.6723614946287,38.1555424763901,11.5557654949738,-0.272509467193651,"model average"
62,100,5.15618251376496,28.7652312931758,9.18337227490404,46.3381428511506,0.525343399638211,0.950548403479502,0,17.5729115579749,37.1582988668407,11.0038111855149,-0.425205003841291,"model average"
92,10,1.46347930699634,26.8542857844568,0.116767122177673,47.4588996251483,0.267325537741063,0.758829074099065,0,20.6046138406914,47.8740480041881,14.5023096602821,-0.491503536358002,"model average"
92,100,6.19383905406942,28.8855424466497,8.01852193157028,46.1394200664589,0.499028967691419,0.921335976694781,0,17.2538776198091,38.1273187322019,11.6239449494585,-0.422307009003361,"model average"
93,10,1.67090544966758,22.4995635950483,3.74061757706172,41.3102008819216,0.00014531218520139,0.884450934548501,0,18.8106372868734,37.578129524075,10.3141107887706,-0.00107171980267889,"model average"
93,100,4.30693368359428,23.5823781624353,3.44355828840806,43.7459787691029,0.279568772020843,0.823006235658559,0,20.1636006066676,40.3160529436171,11.0787352863699,-0.538889781863542,"model average"
100,10,1.33727579190443,26.1389067471016,-3.01169901955745,48.1243825696199,0.180497819166917,0.664123449637095,0,21.9854758225183,51.9685433656812,15.8722246951101,-0.483625630470178,"model average"
100,100,5.53160529959136,29.8680945778846,7.80013341682562,46.1386888105043,0.527624353757468,1.06917691150867,0,16.2705942326197,38.3385553936786,11.3229428718568,-0.541552557751205,"model average"
102,10,1.33900730803857,26.8095811252146,-0.713493458595991,46.9752332585757,0.244415521631634,0.785670374640529,0,20.1656521333611,48.4248537423369,15.0427461716094,-0.541254853008896,"model average"
102,100,5.72536175409205,29.2794709003317,6.70396526297635,46.3451185003254,0.464006112153409,0.964874607952066,0,17.0656475999937,39.6455269615233,11.6544345090415,-0.500868495798657,"model average"
103,10,1.43707698837797,25.8315949220375,2.80777278565981,46.7516698659748,0.320883425836609,0.855860429297357,0,20.9200749439373,44.0503529891867,12.769566221748,-0.53495803520341,"model average"
103,100,6.02916221617097,28.1866468255469,8.63579946032774,46.3191471833904,0.521524328760421,0.946695026810883,0,18.1325003578435,37.6856909675549,11.0771526552606,-0.425170698050462,"model average"
118,10,1.17367400998096,24.5264970354318,-1.19546817267782,46.9812731562933,0.145567707778416,0.670018143646423,0,22.4547761208615,48.4824286697867,13.8048416383047,-0.524062851283171,"model average"
118,100,4.16587801363851,25.8607747425514,7.27767149668238,44.4352399675279,0.483780811925076,1.10319479592049,0,18.5744652249765,37.1612230603812,10.1617909257114,-0.61941398399541,"model average"
128,10,1.81052290029422,23.147909086025,4.02456498516754,42.5584883013812,0.727744614675037,0.709338615664556,2.67564848441201,19.4105792153562,38.5441302453936,10.7053077464939,0.0225052455533502,"model average"
128,100,5.57180720222667,27.1501833064106,11.3915762828549,42.9068255009026,0.825020051969439,1.08850985651426,3.01902385686374,15.7566421944921,31.5154365612437,8.60604097099097,-0.263489416389971,"model average"
140,10,1.09871104418315,21.1622532367332,-0.578855015217504,43.4590785538376,0,0.668317739837244,0,22.2968253171044,44.1036168141738,12.2527185153219,0,"model average"
140,100,4.38912584088148,25.8713125973575,8.40640914734426,43.3338194499952,0.547635386671475,1.15779215876777,0,17.4625068526377,34.9283944853773,9.54030606810494,-0.610156224166387,"model average"
171,10,1.74937327142846,23.7473610639644,0.836956645361638,46.9614078347005,0.371405226708358,0.544184126314551,0,23.2140467707361,46.2618196489043,13.8883357506728,-0.172767920653627,"model average"
171,100,6.11890117322979,28.0301326313843,8.84628123825407,46.1532754767408,0.659799449603437,0.793491032393362,2.16982524961168,18.1231428453566,37.3105478791308,10.5835955669929,-0.133691582789925,"model average"
172,10,1.06004464354353,20.2559793024529,12.8469999468394,27.6660584047981,3.82822437949297e-07,1.83336318207276,1.46563336772168e-06,7.41007910234518,14.8190488422958,4.07301740007329,-8.23953820820059e-07,"model average"
172,100,1.45358623513771,20.2289969811818,13.21199863397,27.2460083474678,6.09797540380284e-08,2.39257986226489,2.31206318007549e-07,7.01701136628602,14.0340123739261,3.8540019180012,-1.16423296872782e-07,"model average"
191,10,1.18825835571674,28.3338463611522,-2.66427130540716,46.8223653067423,0.194639868367167,0.911611544175905,0.000910060325070393,18.4885189455901,49.5974895449192,14.6813435582525,-0.716971675808738,"model average"
191,100,4.03458314411686,25.7100407556305,3.81450257518847,46.8380743499893,0.195447293671151,0.903502162402744,0,21.1280335943588,43.284595958166,12.715057578598,-0.708054868731593,"model average"
195,10,1.40136771141117,28.3824347841119,2.15329134537644,46.7442690224254,0.253565486387945,0.860198778143895,0,18.3618342383134,45.9058081873432,13.992164693014,-0.606495577011309,"model average"
195,100,4.77998432685746,28.5768178047455,5.11147484162305,46.4739181657997,0.364451971661313,1.03644770419231,0,17.8971003610542,41.3657677079366,11.9630804385618,-0.671995732530998,"model average"
196,10,1.36484359479287,27.8286696994654,0.419532187020573,46.9939406368601,0.274738699240237,0.797699516705565,0,19.1652709373946,46.6250622959502,13.6488798650078,-0.522960817465328,"model average"
196,100,5.28529276405327,27.964699573707,9.27574706219604,45.9340837792982,0.466978337181788,0.889353298897321,0,17.9693842055912,36.6819960969448,10.8132845572691,-0.422363654303885,"model average"
214,10,1.2634159255376,22.2221760907052,5.25125072433613,39.8718801951886,0,0.864683087876689,0,17.6253348839965,34.6369545730659,9.5687703590868,0,"model average"
214,100,3.28588885141576,23.5239649994799,8.95301545517109,38.095019191283,0.593093384965265,1.33582661655872,0,14.5710541918031,29.1420266134273,8.00505620627746,-0.742724707166911,"model average"
228,10,1.15429849983729,22.1045333032919,4.79742582701767,40.3360164514314,0,0.782834278883926,0,18.2314831481394,35.6007230071895,9.87281011964575,0,"model average"
228,100,2.18986537060024,24.2530248961738,11.0479517873079,37.4584482737081,0.996912358458247,1.3233101390889,3.8492814198094,13.2054233775343,26.4105402840357,7.223479956963,-0.326378541788695,"model average"
231,10,1.34246372503727,26.304325578862,2.47588130651014,46.4623508364295,0.199802811358897,0.895625193632829,0,20.1580252575675,44.372493890611,13.1261833818349,-0.695574943704729,"model average"
231,100,4.37506362632771,25.9274492430473,5.56874087019597,46.0025033936029,0.295263944416601,0.930286461464935,0,20.0750541505556,40.5780914947849,11.6031753046208,-0.635022517048335,"model average"
240,10,1.13216666237036,21.9807387287732,5.39987682353561,39.6257756878618,0,0.804194143121538,0,17.6450369590886,34.2153415703,9.4930672150596,0,"model average"
240,100,3.03075841891825,23.1717661045874,8.05585313897176,38.2872765074397,0.479970655419942,1.29587787015165,0,15.1155104028523,30.231514247454,8.25642100154935,-0.815890602671058,"model average"
245,10,1.53646904377862,27.1710730362898,3.49449162094882,46.5681919098318,0.320852270100144,0.77015929095412,0,19.397118873542,43.5015403921585,13.2457779793705,-0.449275065998066,"model average"
245,100,6.00940877250366,28.7586516450424,10.8040210847204,45.5112350640429,0.560946941726349,1.02604482960715,0,16.7525834190004,34.7085315979711,10.6276260309788,-0.465097887880801,"model average"
264,10,1.54956071661336,27.8068300728374,2.7942423798078,46.4402177450585,0.333094148604818,0.834912138417705,0,18.6333876722211,43.699121663848,12.8495709924911,-0.501817989812888,"model average"
264,100,6.22010483202303,28.8818548391095,11.8607601889006,45.4703450613462,0.658740691015158,1.06966477703305,0,16.5884902222367,33.610362032982,9.61329323652856,-0.410924086017886,"model average"
265,10,1.12808280793333,25.243656684487,-3.23176414717844,48.5705138300317,0.106701927453988,0.57366620420069,0,23.3268571455447,52.5142932197961,15.2945787364815,-0.466268744602344,"model average"
265,100,4.77078399055528,25.0892235596677,5.49355731100307,44.6834897509037,0.366698896559301,1.15519400756424,0,19.594266191236,39.1906172504816,10.7007716414437,-0.788495049176589,"model average"
280,10,0.267935329167202,18.589,12.506,33.075,0,-0.635495157162186,0,14.486,20.569,6.704,0,"model average"
280,100,0.490322282130585,18.2677018442813,14.525,30.588476396603,0,-0.0212942519910819,0,12.3207745523218,15.593,4.68919536706105,0,"model average"
283,10,0.900002247097537,25.9300019293174,0.8765377875675,46.9333895398575,0.125272675226141,0.837650519461218,0,21.0033876105401,46.6183371796032,14.4268088531139,-0.712377844235077,"model average"
283,100,2.47976701243736,27.5190236947056,7.70680405103972,46.3636847095659,0.474871963968045,0.835579448157141,0,18.8446610148603,38.7322707297549,10.703737670005,-0.360650265936347,"model average"
291,10,0.908795875256442,21.5108765186695,0.822115228050987,43.9327519748279,0,0.660266321340756,0,22.4218754561584,43.0332584694738,12.0977536532561,0,"model average"
291,100,2.16742081138681,21.8833378138591,1.02043040809669,42.8042625824783,0.000489928782911988,0.734132662107775,0,20.9209247686192,41.7919686406911,11.4448518812178,-0.00800366066045798,"model average"
294,10,1.06085601686397,25.4819433942058,-2.83023306885803,49.2174303587553,0.0483619094655125,0.607285855697798,0,23.7354869645496,52.3216749267264,16.740062351739,-0.553269963158938,"model average"
294,100,3.85670995816722,25.7987119668346,2.82143303632361,47.6003225722683,0.240376051237644,0.78120559997862,0,21.8016106054337,44.8846111816197,13.3231983539222,-0.540701891616039,"model average"
296,10,0.919280023185949,18.5609563548349,12.7344059805996,24.5638753451158,0,0.0249742992963689,0,6.00034349529543,11.7868068381266,3.31887191290537,0,"model average"
296,100,0.963942833951121,19.1848670543164,13.593530104252,24.8102320163131,0,0.561132120121446,0,5.62535726422427,11.2166261592783,3.08289988283546,0,"model average"
350,10,0.651727709599912,22.3489169426812,-6.89217454109569,50.9653684344697,0.0121312047469912,0.306250524952914,0,28.6164514917885,58.0680493745428,15.724068196423,-0.0467911782661678,"model average"
350,100,1.70589517876525,22.7808582447179,-1.02965240143702,46.4215736550496,0.0166682633268473,0.62565854953904,0.0613801922958229,23.6407154103316,47.4396828012723,13.2387272341473,0.00533308050337136,"model average"
