ID,Latitude,Longitude
ME,37.35,-120.38
AB,33.23,-116.38
B,38.32,-123.07
DC,33.66,-116.1
EC,32.83,-117.08
SJ,33.8,-116.76
J,38.27,-121.82
M,38.85,-122.4
P,38.06,-122.9
QR,38.48,-122.15
S,37.6,-118.81
V,37.62,-119.2
W,37.35,-118.31
Y,37.75,-119.8
PF,33.58,-116.45
