"Seasonality","MAT","MATR","MMTR","MDTR","MATmax","MMTmax","MATmin","MMTmin","Isothermality","Site","Site_initials","Climate profile"
9.35631316849688,22.79544596832,33.333333332,10.68981481525,4.13168943738382,42.11111111,28.5138888891667,8.777777778,17.8240740739167,32.0694444470328,"Merced","ME","Hot stable"
9.94554617594046,28.8874276818206,51.9435555555556,26.9699259259259,16.4588168954149,59.67,56.4088888888889,1.986,4.46533333333333,51.9216015104715,"Anza Borrego HQ","AB","Hot variable"
3.69944176434666,13.9218645890257,23.7695,12.0775,5.75789823453529,27.3,25.805,0,2.0355,50.8109131449967,"Bodega","B","Cold stable"
9.40670317499953,28.2079515997474,48.3751818181818,24.3595833333333,13.950806452683,55.17,54.0118181818182,2.815,5.63663636363636,50.3555385587776,"Boyd Deep Canyon","DC","Hot variable"
6.28525823747281,23.5139073837586,35.9561666666667,19.4345138888889,10.8105822110546,45.02,42.9608333333333,5.071,7.00466666666667,54.0505723790232,"Elliot Chaparral","EC","Hot variable"
9.5696571677394,11.8043521249233,47.9675454545455,20.879103030303,12.2241865842937,51.77,43.3918181818182,-15.38,-4.57572727272727,43.5275618805392,"James San Jacinto","SJ","Cold variable"
7.30716760156726,18.9919945272543,32.78775,13.3560833333333,6.77145269324823,43,38.695,3.178,5.90725,40.7349797815749,"Jepson Prairie","J","Hot stable"
8.31704304820139,18.9795917698631,34.5104285714286,13.4634523809524,6.18424260026422,43.33,38.1657142857143,2.544,3.65528571428571,39.0127069940211,"McLaughlin","M","Hot stable"
3.38395762146442,13.1830690263973,14.0875,5.10191666666667,1.57476895580627,21.78,20.065,5.494,5.9775,36.2159124519373,"Point Reyes","P","Cold stable"
9.78161614968585,21.6727287327151,44.7084,19.9221333333333,11.0051173515988,51.59,47.774,1.634,3.0656,44.5601572262334,"Quail Ridge","QR","Hot variable"
9.60350803305907,11.2878606063651,52.5187,25.7524223333333,15.6722415073608,46.1,43.446,-13.21,-9.0727,49.034767298759,"SNARL","S","Cold variable"
6.24202988931324,7.40092911594768,19.9165,6.29616666666667,2.34199557091654,20.44,20.01,-0.016,0.0935,31.6128168436556,"Valentine","V","Cold stable"
8.9711265794446,3.72997453836007,62.13,36.9024583333333,21.5285580325141,43.2,42.345,-19.96,-19.785,59.3955550190461,"White Mountain","W","Cold variable"
8.59082637534857,10.5631138734117,29.865,12.5751666666667,5.62313305455994,29.84,29.84,-0.025,-0.025,42.1067023829455,"Yosemite Mariposa Grove","Y","Cold stable"
9.38555104164586,22.4426452267961,46.4522053400349,22.9916666666667,12.0044308943089,47.0532678872054,35.1813596576904,0.601062547170498,12.1896929910237,49.4953178183152,"Pinyon crest","PF","Hot variable"
