"Year","Month","Site","Temperature","Site_initials","Climate profile"
1989,10,"Pinyon Crest",21.4659127569832,"PF","Hot variable"
1989,11,"Pinyon Crest",17.1744379721887,"PF","Hot variable"
1989,12,"Pinyon Crest",11.8510625471705,"PF","Hot variable"
1990,1,"Pinyon Crest",8.78116381563448,"PF","Hot variable"
1990,2,"Pinyon Crest",10.6237040770609,"PF","Hot variable"
1990,3,"Pinyon Crest",16.8669752158684,"PF","Hot variable"
1990,4,"Pinyon Crest",22.0923947500942,"PF","Hot variable"
1990,5,"Pinyon Crest",25.0172069248373,"PF","Hot variable"
1990,6,"Pinyon Crest",31.9032678872054,"PF","Hot variable"
1990,7,"Pinyon Crest",34.0175242690737,"PF","Hot variable"
1990,8,"Pinyon Crest",31.5326530203862,"PF","Hot variable"
1990,9,"Pinyon Crest",28.8500126557819,"PF","Hot variable"
1990,10,"Pinyon Crest",23.2659127569832,"PF","Hot variable"
1990,11,"Pinyon Crest",15.2244379721887,"PF","Hot variable"
1990,12,"Pinyon Crest",7.7010625471705,"PF","Hot variable"
1991,1,"Pinyon Crest",9.08116381563448,"PF","Hot variable"
1991,2,"Pinyon Crest",15.9237040770609,"PF","Hot variable"
1991,3,"Pinyon Crest",11.3169752158684,"PF","Hot variable"
1991,4,"Pinyon Crest",21.1423947500942,"PF","Hot variable"
1991,5,"Pinyon Crest",23.9672069248373,"PF","Hot variable"
1991,6,"Pinyon Crest",28.8532678872054,"PF","Hot variable"
1991,7,"Pinyon Crest",33.1175242690737,"PF","Hot variable"
1991,8,"Pinyon Crest",32.3826530203862,"PF","Hot variable"
1991,9,"Pinyon Crest",29.4500126557819,"PF","Hot variable"
1991,10,"Pinyon Crest",24.1159127569832,"PF","Hot variable"
1991,11,"Pinyon Crest",15.3744379721887,"PF","Hot variable"
1991,12,"Pinyon Crest",8.9510625471705,"PF","Hot variable"
1992,1,"Pinyon Crest",8.38116381563448,"PF","Hot variable"
1992,2,"Pinyon Crest",12.2237040770609,"PF","Hot variable"
1992,3,"Pinyon Crest",13.7669752158684,"PF","Hot variable"
1992,4,"Pinyon Crest",23.5423947500942,"PF","Hot variable"
1992,5,"Pinyon Crest",27.5672069248373,"PF","Hot variable"
1992,6,"Pinyon Crest",29.6532678872054,"PF","Hot variable"
1992,7,"Pinyon Crest",32.7675242690737,"PF","Hot variable"
1992,8,"Pinyon Crest",32.7826530203862,"PF","Hot variable"
1992,9,"Pinyon Crest",30.2500126557819,"PF","Hot variable"
1992,10,"Pinyon Crest",23.2659127569832,"PF","Hot variable"
1992,11,"Pinyon Crest",13.9744379721887,"PF","Hot variable"
1992,12,"Pinyon Crest",7.1010625471705,"PF","Hot variable"
1993,1,"Pinyon Crest",7.28116381563448,"PF","Hot variable"
1993,2,"Pinyon Crest",9.77370407706093,"PF","Hot variable"
1993,3,"Pinyon Crest",17.9169752158684,"PF","Hot variable"
1993,4,"Pinyon Crest",23.4923947500942,"PF","Hot variable"
1993,5,"Pinyon Crest",27.3172069248373,"PF","Hot variable"
1993,6,"Pinyon Crest",30.3532678872054,"PF","Hot variable"
1993,7,"Pinyon Crest",32.4175242690737,"PF","Hot variable"
1993,8,"Pinyon Crest",32.3326530203862,"PF","Hot variable"
1993,9,"Pinyon Crest",28.7000126557819,"PF","Hot variable"
1993,10,"Pinyon Crest",21.7159127569832,"PF","Hot variable"
1993,11,"Pinyon Crest",13.5244379721887,"PF","Hot variable"
1993,12,"Pinyon Crest",9.4510625471705,"PF","Hot variable"
1994,1,"Pinyon Crest",10.3311638156345,"PF","Hot variable"
1994,2,"Pinyon Crest",8.57370407706093,"PF","Hot variable"
1994,3,"Pinyon Crest",16.4169752158684,"PF","Hot variable"
1994,4,"Pinyon Crest",20.9423947500942,"PF","Hot variable"
1994,5,"Pinyon Crest",24.7172069248373,"PF","Hot variable"
1994,6,"Pinyon Crest",33.8032678872054,"PF","Hot variable"
1994,7,"Pinyon Crest",34.3175242690737,"PF","Hot variable"
1994,8,"Pinyon Crest",34.5326530203862,"PF","Hot variable"
1994,9,"Pinyon Crest",29.6500126557819,"PF","Hot variable"
1994,10,"Pinyon Crest",21.1159127569832,"PF","Hot variable"
1994,11,"Pinyon Crest",11.0244379721887,"PF","Hot variable"
1994,12,"Pinyon Crest",10.1010625471705,"PF","Hot variable"
1995,1,"Pinyon Crest",8.78116381563448,"PF","Hot variable"
1995,2,"Pinyon Crest",16.0237040770609,"PF","Hot variable"
1995,3,"Pinyon Crest",16.6669752158684,"PF","Hot variable"
1995,4,"Pinyon Crest",20.8423947500942,"PF","Hot variable"
1995,5,"Pinyon Crest",23.9672069248373,"PF","Hot variable"
1995,6,"Pinyon Crest",29.7532678872054,"PF","Hot variable"
1995,7,"Pinyon Crest",35.2675242690737,"PF","Hot variable"
1995,8,"Pinyon Crest",35.0326530203862,"PF","Hot variable"
1995,9,"Pinyon Crest",31.6000126557819,"PF","Hot variable"
1995,10,"Pinyon Crest",24.2159127569832,"PF","Hot variable"
1995,11,"Pinyon Crest",19.6244379721887,"PF","Hot variable"
1995,12,"Pinyon Crest",12.5010625471705,"PF","Hot variable"
1996,1,"Pinyon Crest",9.83116381563448,"PF","Hot variable"
1996,2,"Pinyon Crest",9.37370407706093,"PF","Hot variable"
1996,3,"Pinyon Crest",15.9669752158684,"PF","Hot variable"
1996,4,"Pinyon Crest",21.9423947500942,"PF","Hot variable"
1996,5,"Pinyon Crest",27.1172069248373,"PF","Hot variable"
1996,6,"Pinyon Crest",31.3532678872054,"PF","Hot variable"
1996,7,"Pinyon Crest",34.2175242690737,"PF","Hot variable"
1996,8,"Pinyon Crest",32.7826530203862,"PF","Hot variable"
1996,9,"Pinyon Crest",27.2000126557819,"PF","Hot variable"
1996,10,"Pinyon Crest",20.3159127569832,"PF","Hot variable"
1996,11,"Pinyon Crest",15.1244379721887,"PF","Hot variable"
1996,12,"Pinyon Crest",9.2510625471705,"PF","Hot variable"
1997,1,"Pinyon Crest",8.13116381563448,"PF","Hot variable"
1997,2,"Pinyon Crest",11.6737040770609,"PF","Hot variable"
1997,3,"Pinyon Crest",19.9169752158684,"PF","Hot variable"
1997,4,"Pinyon Crest",21.1423947500942,"PF","Hot variable"
1997,5,"Pinyon Crest",30.7172069248373,"PF","Hot variable"
1997,6,"Pinyon Crest",29.6032678872054,"PF","Hot variable"
1997,7,"Pinyon Crest",33.1675242690737,"PF","Hot variable"
1997,8,"Pinyon Crest",33.8326530203862,"PF","Hot variable"
1997,9,"Pinyon Crest",29.4000126557819,"PF","Hot variable"
1997,10,"Pinyon Crest",20.6159127569832,"PF","Hot variable"
1997,11,"Pinyon Crest",15.1244379721887,"PF","Hot variable"
1997,12,"Pinyon Crest",8.0510625471705,"PF","Hot variable"
1998,1,"Pinyon Crest",8.58116381563448,"PF","Hot variable"
1998,2,"Pinyon Crest",8.37370407706093,"PF","Hot variable"
1998,3,"Pinyon Crest",13.4169752158684,"PF","Hot variable"
1998,4,"Pinyon Crest",17.2423947500942,"PF","Hot variable"
1998,5,"Pinyon Crest",21.5172069248373,"PF","Hot variable"
1998,6,"Pinyon Crest",27.1532678872054,"PF","Hot variable"
1998,7,"Pinyon Crest",34.5175242690737,"PF","Hot variable"
1998,8,"Pinyon Crest",33.8826530203862,"PF","Hot variable"
1998,9,"Pinyon Crest",27.0500126557819,"PF","Hot variable"
1998,10,"Pinyon Crest",19.8159127569832,"PF","Hot variable"
1998,11,"Pinyon Crest",13.7744379721887,"PF","Hot variable"
1998,12,"Pinyon Crest",8.7510625471705,"PF","Hot variable"
1999,1,"Pinyon Crest",10.2311638156345,"PF","Hot variable"
1999,2,"Pinyon Crest",11.5237040770609,"PF","Hot variable"
1999,3,"Pinyon Crest",13.7169752158684,"PF","Hot variable"
1999,4,"Pinyon Crest",16.5923947500942,"PF","Hot variable"
