"Climate profile","Temp_continuous","Proportion_continuous"
"Cold stable",9.2,0.457394064516129
"Cold stable",9.3,0.461650774193548
"Cold stable",9.4,0.465931870967742
"Cold stable",9.5,0.470233870967742
"Cold stable",9.6,0.474553290322581
"Cold stable",9.7,0.47888664516129
"Cold stable",9.8,0.483230451612903
"Cold stable",9.9,0.487581225806452
"Cold stable",10,0.491935483870968
"Cold stable",10.1,0.496289741935484
"Cold stable",10.2,0.500640516129032
"Cold stable",10.3,0.504984322580645
"Cold stable",10.4,0.509317677419355
"Cold stable",10.5,0.513637096774194
"Cold stable",10.6,0.517939096774194
"Cold stable",10.7,0.522220193548387
"Cold stable",10.8,0.526476903225807
"Cold stable",10.9,0.530705741935484
"Cold stable",11,0.534903225806452
"Cold stable",11.1,0.539065870967742
"Cold stable",11.2,0.543190193548387
"Cold stable",11.3,0.547272709677419
"Cold stable",11.4,0.551309935483871
"Cold stable",11.5,0.555298387096774
"Cold stable",11.6,0.559234580645161
"Cold stable",11.7,0.563115032258064
"Cold stable",11.8,0.566936258064516
"Cold stable",11.9,0.570694774193548
"Cold stable",12,0.574387096774194
"Cold stable",12.1,0.578009741935484
"Cold stable",12.2,0.581559225806452
"Cold stable",12.3,0.585032064516129
"Cold stable",12.4,0.588424774193548
"Cold stable",12.5,0.591733870967742
"Cold stable",12.6,0.594955870967742
"Cold stable",12.7,0.598087290322581
"Cold stable",12.8,0.60112464516129
"Cold stable",12.9,0.604064451612903
"Cold stable",13,0.606903225806452
"Cold stable",13.1,0.609637483870968
"Cold stable",13.2,0.612263741935484
"Cold stable",13.3,0.614778516129032
"Cold stable",13.4,0.617178322580645
"Cold stable",13.5,0.619459677419355
"Cold stable",13.6,0.621619096774194
"Cold stable",13.7,0.623653096774193
"Cold stable",13.8,0.625558193548387
"Cold stable",13.9,0.627330903225807
"Cold stable",14,0.628967741935484
"Cold stable",14.1,0.630465225806452
"Cold stable",14.2,0.631819870967742
"Cold stable",14.3,0.633028193548387
"Cold stable",14.4,0.634086709677419
"Cold stable",14.5,0.634991935483871
"Cold stable",14.6,0.635740387096774
"Cold stable",14.7,0.636328580645161
"Cold stable",14.8,0.636753032258064
"Cold stable",14.9,0.637010258064516
"Cold stable",15,0.637096774193548
"Cold stable",15.1,0.636911725806452
"Cold stable",15.2,0.636361548387097
"Cold stable",15.3,0.635453693548387
"Cold stable",15.4,0.634195612903226
"Cold stable",15.5,0.632594758064516
"Cold stable",15.6,0.630658580645161
"Cold stable",15.7,0.628394532258064
"Cold stable",15.8,0.625810064516129
"Cold stable",15.9,0.622912629032258
"Cold stable",16,0.619709677419355
"Cold stable",16.1,0.616208661290323
"Cold stable",16.2,0.612417032258064
"Cold stable",16.3,0.608342241935484
"Cold stable",16.4,0.603991741935484
"Cold stable",16.5,0.599372983870968
"Cold stable",16.6,0.594493419354839
"Cold stable",16.7,0.5893605
"Cold stable",16.8,0.583981677419355
"Cold stable",16.9,0.578364403225806
"Cold stable",17,0.572516129032258
"Cold stable",17.1,0.566444306451613
"Cold stable",17.2,0.560156387096774
"Cold stable",17.3,0.553659822580645
"Cold stable",17.4,0.546962064516129
"Cold stable",17.5,0.540070564516129
"Cold stable",17.6,0.532992774193548
"Cold stable",17.7,0.52573614516129
"Cold stable",17.8,0.518308129032258
"Cold stable",17.9,0.510716177419355
"Cold stable",18,0.502967741935484
"Cold stable",18.1,0.495070274193548
"Cold stable",18.2,0.487031225806451
"Cold stable",18.3,0.478858048387097
"Cold stable",18.4,0.470558193548387
"Cold stable",18.5,0.462139112903226
"Cold stable",18.6,0.453608258064516
"Cold stable",18.7,0.444973080645161
"Cold stable",18.8,0.436241032258064
"Cold stable",18.9,0.427419564516129
"Cold stable",19,0.418516129032258
"Cold stable",19.1,0.409538177419355
"Cold stable",19.2,0.400493161290322
"Cold stable",19.3,0.391388532258065
"Cold stable",19.4,0.382231741935484
"Cold stable",19.5,0.373030241935484
"Cold stable",19.6,0.363791483870968
"Cold stable",19.7,0.354522919354838
"Cold stable",19.8,0.345232
"Cold stable",19.9,0.335926177419355
"Cold stable",20,0.326612903225806
"Cold stable",20.1,0.317299629032258
"Cold stable",20.2,0.307993806451613
"Cold stable",20.3,0.298702887096774
"Cold stable",20.4,0.289434322580645
"Cold stable",20.5,0.280195564516129
"Cold stable",20.6,0.270994064516129
"Cold stable",20.7,0.261837274193548
"Cold stable",20.8,0.25273264516129
"Cold stable",20.9,0.243687629032258
"Cold stable",21,0.234709677419355
"Cold stable",21.1,0.225806241935484
"Cold stable",21.2,0.216984774193548
"Cold stable",21.3,0.208252725806452
"Cold stable",21.4,0.199617548387097
"Cold stable",21.5,0.191086693548387
"Cold stable",21.6,0.182667612903226
"Cold stable",21.7,0.174367758064516
"Cold stable",21.8,0.166194580645161
"Cold stable",21.9,0.158155532258064
"Cold stable",22,0.150258064516129
"Cold stable",22.1,0.142509629032258
"Cold stable",22.2,0.134917677419355
"Cold stable",22.3,0.127489661290323
"Cold stable",22.4,0.120233032258064
"Cold stable",22.5,0.113155241935484
"Cold stable",22.6,0.106263741935484
"Cold stable",22.7,0.0995659838709676
"Cold stable",22.8,0.0930694193548387
"Cold stable",22.9,0.0867814999999998
"Cold stable",23,0.0807096774193548
"Cold stable",23.1,0.0748614032258064
"Cold stable",23.2,0.0692441290322579
"Cold stable",23.3,0.0638653064516129
"Cold stable",23.4,0.0587323870967741
"Cold stable",23.5,0.0538528225806452
"Cold stable",23.6,0.049234064516129
"Cold stable",23.7,0.0448835645161289
"Cold stable",23.8,0.0408087741935483
"Cold stable",23.9,0.0370171451612902
"Cold stable",24,0.033516129032258
"Cold stable",24.1,0.0303131774193548
"Cold stable",24.2,0.0274157419354838
"Cold stable",24.3,0.0248312741935484
"Cold stable",24.4,0.0225672258064516
"Cold stable",24.5,0.0206310483870968
"Cold stable",24.6,0.0190301935483871
"Cold stable",24.7,0.0177721129032258
"Cold stable",24.8,0.0168642580645161
"Cold stable",24.9,0.0163140806451613
"Cold stable",25,0.0161290322580645
"Cold stable",25.1,0.0161242258064516
"Cold stable",25.2,0.016109935483871
"Cold stable",25.3,0.0160863548387097
"Cold stable",25.4,0.0160536774193548
"Cold stable",25.5,0.0160120967741935
"Cold stable",25.6,0.0159618064516129
"Cold stable",25.7,0.015903
"Cold stable",25.8,0.0158358709677419
"Cold stable",25.9,0.0157606129032258
"Cold stable",26,0.0156774193548387
"Cold stable",26.1,0.0155864838709677
"Cold stable",26.2,0.015488
"Cold stable",26.3,0.0153821612903226
"Cold stable",26.4,0.0152691612903226
"Cold stable",26.5,0.0151491935483871
"Cold stable",26.6,0.0150224516129032
"Cold stable",26.7,0.0148891290322581
"Cold stable",26.8,0.0147494193548387
"Cold stable",26.9,0.0146035161290323
"Cold stable",27,0.0144516129032258
"Cold stable",27.1,0.0142939032258064
"Cold stable",27.2,0.0141305806451613
"Cold stable",27.3,0.0139618387096774
"Cold stable",27.4,0.0137878709677419
"Cold stable",27.5,0.0136088709677419
"Cold stable",27.6,0.0134250322580645
"Cold stable",27.7,0.0132365483870968
"Cold stable",27.8,0.0130436129032258
"Cold stable",27.9,0.0128464193548387
"Cold stable",28,0.0126451612903226
"Cold stable",28.1,0.0124400322580645
"Cold stable",28.2,0.0122312258064516
"Cold stable",28.3,0.012018935483871
"Cold stable",28.4,0.0118033548387097
"Cold stable",28.5,0.0115846774193548
"Cold stable",28.6,0.0113630967741935
"Cold stable",28.7,0.0111388064516129
"Cold stable",28.8,0.010912
"Cold stable",28.9,0.0106828709677419
"Cold stable",29,0.0104516129032258
"Cold stable",29.1,0.0102184193548387
"Cold stable",29.2,0.00998348387096774
"Cold stable",29.3,0.00974699999999999
"Cold stable",29.4,0.00950916129032258
"Cold stable",29.5,0.00927016129032258
"Cold stable",29.6,0.00903019354838709
"Cold stable",29.7,0.00878945161290322
"Cold stable",29.8,0.00854812903225805
"Cold stable",29.9,0.00830641935483871
"Cold stable",30,0.00806451612903226
"Cold stable",30.1,0.0078226129032258
"Cold stable",30.2,0.00758090322580645
"Cold stable",30.3,0.00733958064516128
"Cold stable",30.4,0.00709883870967742
"Cold stable",30.5,0.00685887096774193
"Cold stable",30.6,0.00661987096774193
"Cold stable",30.7,0.00638203225806451
"Cold stable",30.8,0.00614554838709677
"Cold stable",30.9,0.00591061290322581
"Cold stable",31,0.00567741935483871
"Cold stable",31.1,0.00544616129032258
"Cold stable",31.2,0.00521703225806451
"Cold stable",31.3,0.0049902258064516
"Cold stable",31.4,0.00476593548387097
"Cold stable",31.5,0.00454435483870968
"Cold stable",31.6,0.00432567741935484
"Cold stable",31.7,0.00411009677419354
"Cold stable",31.8,0.00389780645161289
"Cold stable",31.9,0.003689
"Cold stable",32,0.00348387096774194
"Cold stable",32.1,0.0032826129032258
"Cold stable",32.2,0.0030854193548387
"Cold stable",32.3,0.00289248387096773
"Cold stable",32.4,0.002704
"Cold stable",32.5,0.00252016129032258
"Cold stable",32.6,0.00234116129032258
"Cold stable",32.7,0.00216719354838709
"Cold stable",32.8,0.00199845161290322
"Cold stable",32.9,0.00183512903225807
"Cold stable",33,0.00167741935483871
"Cold stable",33.1,0.00152551612903226
"Cold stable",33.2,0.0013796129032258
"Cold stable",33.3,0.00123990322580645
"Cold stable",33.4,0.00110658064516128
"Cold stable",33.5,0.00097983870967742
"Cold stable",33.6,0.000859870967741934
"Cold stable",33.7,0.000746870967741932
"Cold stable",33.8,0.000641032258064511
"Cold stable",33.9,0.000542548387096769
"Cold stable",34,0.000451612903225806
"Cold stable",34.1,0.000368419354838709
"Cold stable",34.2,0.000293161290322579
"Cold stable",34.3,0.000226032258064514
"Cold stable",34.4,0.00016722580645161
"Cold stable",34.5,0.000116935483870968
"Cold stable",34.6,7.53548387096767e-05
"Cold stable",34.7,4.26774193548378e-05
"Cold stable",34.8,1.90967741935476e-05
"Cold stable",34.9,4.8064516129027e-06
"Cold stable",35,0
"Cold stable",35.1,0
"Cold stable",35.2,0
"Cold stable",35.3,0
"Cold stable",35.4,0
"Cold stable",35.5,0
"Cold stable",35.6,0
"Cold stable",35.7,0
"Cold stable",35.8,0
"Cold stable",35.9,0
"Cold stable",36,0
"Cold stable",36.1,0
"Cold stable",36.2,0
"Cold stable",36.3,0
"Cold stable",36.4,0
"Cold stable",36.5,0
"Cold stable",36.6,0
"Cold stable",36.7,0
"Cold stable",36.8,0
"Cold stable",36.9,0
"Cold stable",37,0
"Cold stable",37.1,0
"Cold stable",37.2,0
"Cold stable",37.3,0
"Cold stable",37.4,0
"Cold stable",37.5,0
"Cold stable",37.6,0
"Cold stable",37.7,0
"Cold stable",37.8,0
"Cold stable",37.9,0
"Cold stable",38,0
"Cold stable",38.1,0
"Cold stable",38.2,0
"Cold stable",38.3,0
"Cold stable",38.4,0
"Cold stable",38.5,0
"Cold stable",38.6,0
"Cold stable",38.7,0
"Cold stable",38.8,0
"Cold stable",38.9,0
"Cold stable",39,0
"Cold stable",39.1,0
"Cold stable",39.2,0
"Cold stable",39.3,0
"Cold stable",39.4,0
"Cold stable",39.5,0
"Cold stable",39.6,0
"Cold stable",39.7,0
"Cold stable",39.8,0
"Cold stable",39.9,0
"Cold stable",40,0
"Cold stable",40.1,0
"Cold stable",40.2,0
"Cold stable",40.3,0
"Cold stable",40.4,0
"Cold stable",40.5,0
"Cold stable",40.6,0
"Cold stable",40.7,0
"Cold stable",40.8,0
"Cold stable",40.9,0
"Cold stable",41,0
"Cold stable",41.1,0
"Cold stable",41.2,0
"Cold stable",41.3,0
"Cold stable",41.4,0
"Cold stable",41.5,0
"Cold stable",41.6,0
"Cold stable",41.7,0
"Cold stable",41.8,0
"Cold stable",41.9,0
"Cold stable",42,0
"Cold stable",42.1,0
"Cold stable",42.2,0
"Cold stable",42.3,0
"Cold stable",42.4,0
"Cold stable",42.5,0
"Cold stable",42.6,0
"Cold stable",42.7,0
"Cold stable",42.8,0
"Cold stable",42.9,0
"Cold stable",43,0
"Cold stable",43.1,0
"Cold stable",43.2,0
"Cold stable",43.3,0
"Cold stable",43.4,0
"Cold stable",43.5,0
"Cold stable",43.6,0
"Cold stable",43.7,0
"Cold stable",43.8,0
"Cold stable",43.9,0
"Cold stable",44,0
"Cold stable",44.1,0
"Cold stable",44.2,0
"Cold stable",44.3,0
"Cold stable",44.4,0
"Cold stable",44.5,0
"Cold stable",44.6,0
"Cold stable",44.7,0
"Cold stable",44.8,0
"Cold stable",44.9,0
"Cold stable",45,0
"Cold stable",45.1,0
"Cold stable",45.2,0
"Cold stable",45.3,0
"Cold stable",45.4,0
"Cold stable",45.5,0
"Cold stable",45.6,0
"Cold stable",45.7,0
"Cold stable",45.8,0
"Cold stable",45.9,0
"Cold stable",46,0
"Cold stable",46.1,0
"Cold stable",46.2,0
